mouse,0.1733,0.0038,0.0002,0.0000,0.0000,0.0000,0.0000
charger,0.1727,0.0027,0.0000,0.0000,-0.0000,-0.0000,-0.0000
charger,0.1730,0.0027,0.0000,0.0000,0.0000,-0.0000,-0.0000
keychain,0.1777,0.0061,0.0000,0.0000,-0.0000,-0.0000,0.0000
keychain,0.1692,0.0031,0.0000,0.0000,-0.0000,-0.0000,0.0000
keychain,0.1748,0.0050,0.0000,0.0000,0.0000,-0.0000,0.0000
keychain,0.2711,0.0362,0.0090,0.0024,0.0000,0.0004,-0.0000
mouse,0.1735,0.0039,0.0003,0.0000,0.0000,0.0000,0.0000
mouse,0.1752,0.0039,0.0004,0.0000,0.0000,0.0000,0.0000
pen,0.8102,0.6271,0.0045,0.0037,0.0000,0.0029,0.0000
pen,0.7820,0.5817,0.0072,0.0059,0.0000,0.0045,0.0000
pen,0.7271,0.4976,0.0091,0.0075,0.0001,0.0053,0.0000
pen,0.7091,0.4717,0.0104,0.0085,0.0001,0.0058,0.0000
lipstick,0.9444,0.8629,0.0000,0.0000,0.0000,-0.0000,-0.0000
lipstick,0.9973,0.9649,0.0001,0.0000,-0.0000,-0.0000,-0.0000
lipstick,0.9223,0.8200,0.0119,0.0105,0.0001,0.0095,-0.0000
lipstick,0.7664,0.5599,0.0037,0.0032,0.0000,0.0024,0.0000
